entropy,id,method,t,truth,user_id,y
0.14213487544882047,184,NONE,5177,0,9,0
0.20658605608438385,185,BIM_ENTROPY,4120,1,9,1
0.19735797138734465,186,BIM_ENTROPY,5903,1,9,1
0.4086867037281462,187,BIM,6247,1,9,1
0.7632017538953703,188,NONE,6323,0,9,0
0.4418854375230702,189,NONE,6793,0,9,0
0.09051352893144372,190,BIM,2629,1,9,1
0.13977472287782014,191,NONE,5655,0,9,0
0.12330958266686055,192,BIM,1672,1,9,1
0.5456202950749992,193,BIM,4715,1,9,1
0.2510933882171341,194,NONE,6977,0,9,0
0.7834364268856053,195,NONE,6118,0,9,0
0.12330958266686055,196,NONE,5918,0,9,0
0.12390241719891275,197,BIM_ENTROPY,1689,1,9,1
0.09051352893144372,198,BIM_ENTROPY,3586,1,9,1
0.2587107526761446,199,NONE,6456,0,9,0
0.8368362769991388,200,NONE,5988,0,9,0
0.3867853827138399,201,BIM_ENTROPY,5617,1,9,0
0.08667688280891712,202,BIM_ENTROPY,3718,1,9,1
0.0685786512455118,203,BIM,1238,1,9,1
0.3018758179438709,204,BIM,2351,1,9,1
0.184337982796613,205,BIM_ENTROPY,5767,1,9,1
0.5931141709824275,206,BIM,4575,1,9,1
0.2981510273934296,207,NONE,5806,0,9,0
0.12825359895303184,208,BIM,5794,1,9,1
0.3756893099629758,209,NONE,4107,0,9,0
0.7834364268856053,210,BIM_ENTROPY,6544,1,9,0
0.2574020424827463,211,BIM,3073,1,9,1
0.259538483909576,212,BIM,2492,1,9,1
0.20658605608438385,213,NONE,5946,0,9,0
0.16092661155915486,214,BIM_ENTROPY,6084,1,9,0
0.23736870952226485,215,BIM_ENTROPY,8991,1,9,0
0.7632017538953703,216,BIM_ENTROPY,6723,1,9,0
0.14213487544882047,217,BIM_ENTROPY,5502,1,9,1
0.2510933882171341,218,BIM_ENTROPY,6981,1,9,0
0.1803894811020011,219,NONE,6034,0,9,0
0.211127392311048,220,BIM,3721,1,9,1
0.7624523215623986,221,NONE,5892,0,9,0
0.617476314582611,222,BIM_ENTROPY,6042,1,9,0
0.2764174897372513,223,NONE,6364,0,9,1
0.5173320208946208,224,BIM_ENTROPY,6402,1,9,0
0.3867853827138399,225,NONE,6033,0,9,1
0.13375689309962974,226,NONE,4741,0,9,1
0.4086867037281462,227,NONE,6679,0,9,0
0.07150926723414727,228,BIM_ENTROPY,2378,1,9,1
0.2587107526761446,229,BIM_ENTROPY,5106,1,9,1
0.259538483909576,230,NONE,6098,0,9,0
0.2479949888703705,231,NONE,5974,0,9,1
0.7834364268856053,232,BIM,6356,1,9,0
0.9154707441751212,233,BIM,6011,1,9,0
0.32777038288162325,234,BIM_ENTROPY,5887,1,9,0
0.12825359895303184,235,BIM_ENTROPY,6097,1,9,0
0.8492186888289841,236,NONE,6901,0,9,0
0.26251384212704554,237,NONE,3953,0,9,1
0.5067728548897663,238,BIM_ENTROPY,6144,1,9,0
0.692889341282536,239,BIM,6020,1,9,0
0.13375689309962974,0,BIM,2012,1,10,0
0.3018758179438709,1,NONE,1702,0,10,0
0.13375689309962974,2,BIM_ENTROPY,4057,1,10,1
0.5801053679489043,3,BIM,3248,1,10,0
